8471669,Vegas Golden Knights,Paul Stastny,2,0,home
8476905,Vegas Golden Knights,Chandler Stephenson,0,0,home
8468674,Vegas Golden Knights,Deryk Engelland,0,0,home
8471817,Vegas Golden Knights,Ryan Reaves,0,0,home
8475913,Vegas Golden Knights,Mark Stone,1,0,home
8477949,Vegas Golden Knights,Alex Tuch,0,0,home
8477447,Vegas Golden Knights,Shea Theodore,1,1,home
8474207,Vegas Golden Knights,Nick Holden,0,0,home
8476448,Vegas Golden Knights,William Karlsson,0,0,home
8475188,Vegas Golden Knights,Brayden McNabb,0,0,home
8475750,Vegas Golden Knights,Jon Merrill,0,1,home
8479996,Vegas Golden Knights,Cody Glass,0,1,home
8477478,Vegas Golden Knights,William Carrier,1,0,home
8474157,Vegas Golden Knights,Max Pacioretty,0,2,home
8477220,Vegas Golden Knights,Nate Schmidt,0,0,home
8478462,Vegas Golden Knights,Nicolas Roy,1,0,home
8479980,Vegas Golden Knights,Nicolas Hague,0,0,home
8475191,Vegas Golden Knights,Reilly Smith,0,0,home
8471702,Philadelphia Flyers,Matt Niskanen,1,0,away
8476906,Philadelphia Flyers,Shayne Gostisbehere,0,0,away
8473512,Philadelphia Flyers,Claude Giroux,1,1,away
8474027,Philadelphia Flyers,Justin Braun,0,0,away
8477948,Philadelphia Flyers,Travis Sanheim,0,0,away
8474037,Philadelphia Flyers,James van Riemsdyk,0,0,away
8478844,Philadelphia Flyers,Mikhail Vorobyev,0,0,away
8478439,Philadelphia Flyers,Travis Konecny,0,1,away
8478500,Philadelphia Flyers,Ivan Provorov,1,0,away
8476872,Philadelphia Flyers,Scott Laughton,0,0,away
8475763,Philadelphia Flyers,Kevin Hayes,0,0,away
8475752,Philadelphia Flyers,Tyler Pitlick,0,0,away
8474161,Philadelphia Flyers,Jakub Voracek,2,0,away
8479026,Philadelphia Flyers,Philippe Myers,0,0,away
8476461,Philadelphia Flyers,Sean Couturier,1,2,away
8473485,Philadelphia Flyers,Chris Stewart,0,0,away
8480797,Philadelphia Flyers,Joel Farabee,0,0,away
8477290,Philadelphia Flyers,Michael Raffl,0,0,away
